client_request_id,server_request_id,server_ttft_ms,client_ttft_ms,server_arrival_wall_s,queue_arrival_monotonic_s,frontier_request_id,arrived_at
pf4096_dc1024:77,cmpl-pf4096_dc1024:77-0,142.76480674743652,146.952673,1788844430.0868359,3455752.441110562,77,37.73320548888296
pf4096_dc1024:78,cmpl-pf4096_dc1024:78-0,159.64198112487793,167.287843,1788844430.786176,3455753.159109233,78,38.45120415976271
pf4096_dc1024:79,cmpl-pf4096_dc1024:79-0,122.1165657043457,127.552748,1788844431.2248595,3455753.559733095,79,38.85182802192867
pf4096_dc1024:80,cmpl-pf4096_dc1024:80-0,130.6920051574707,135.463412,1788844432.2510862,3455754.593686539,80,39.885781466029584
pf4096_dc1024:81,cmpl-pf4096_dc1024:81-0,89.36738967895508,94.149511,1788844433.0176852,3455755.317580372,81,40.60967529891059
pf4096_dc1024:82,cmpl-pf4096_dc1024:82-0,137.00056076049805,141.612188,1788844433.1352906,3455755.483171193,82,40.77526611974463
pf4096_dc1024:84,cmpl-pf4096_dc1024:84-0,207.20791816711426,212.37372,1788844433.1937857,3455755.568305114,83,40.86040004063398
pf4096_dc1024:83,cmpl-pf4096_dc1024:83-0,209.55848693847656,215.367906,1788844433.1933496,3455755.568472643,84,40.860567569732666
pf4096_dc1024:85,cmpl-pf4096_dc1024:85-0,180.24158477783203,185.041526,1788844433.2226665,3455755.568481256,85,40.860576182603836
pf4096_dc1024:86,cmpl-pf4096_dc1024:86-0,129.48298454284668,136.963045,1788844433.5168064,3455755.858253113,86,41.150348039809614
pf4096_dc1024:87,cmpl-pf4096_dc1024:87-0,141.55006408691406,145.915185,1788844433.749859,3455756.102326463,87,41.394421389792114
pf4096_dc1024:88,cmpl-pf4096_dc1024:88-0,111.03582382202148,115.381034,1788844434.023226,3455756.346487732,88,41.638582658953965
pf4096_dc1024:89,cmpl-pf4096_dc1024:89-0,139.18590545654297,143.576153,1788844434.3165288,3455756.667261604,89,41.959356531035155
pf4096_dc1024:90,cmpl-pf4096_dc1024:90-0,140.71249961853027,147.059733,1788844434.5544548,3455756.909138444,90,42.20123337069526
