time_stats.moe_gating.min,time_stats.moe_gating.max,time_stats.moe_gating.mean,time_stats.moe_gating.median,time_stats.moe_gating.std,time_stats.moe_shuffling.min,time_stats.moe_shuffling.max,time_stats.moe_shuffling.mean,time_stats.moe_shuffling.median,time_stats.moe_shuffling.std,time_stats.moe_grouped_gemm.min,time_stats.moe_grouped_gemm.max,time_stats.moe_grouped_gemm.mean,time_stats.moe_grouped_gemm.median,time_stats.moe_grouped_gemm.std,time_stats.moe_expert_up_proj.min,time_stats.moe_expert_up_proj.max,time_stats.moe_expert_up_proj.mean,time_stats.moe_expert_up_proj.median,time_stats.moe_expert_up_proj.std,time_stats.moe_expert_down_proj.min,time_stats.moe_expert_down_proj.max,time_stats.moe_expert_down_proj.mean,time_stats.moe_expert_down_proj.median,time_stats.moe_expert_down_proj.std,num_tokens,num_experts,num_experts_per_device,expert_parallel_size,router_topk,hidden_dim,expert_hidden_dim,use_gated,num_tensor_parallel_workers
0.037,0.037,0.037,0.037,0.0,0.112,0.112,0.112,0.112,0.0,2.419,2.419,2.419,2.419,0.0,0.013000000000000001,0.015,0.013983333333333335,0.014,0.00028819360776317617,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,936,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.11,0.11,0.11,0.11,0.0,2.358,2.358,2.358,2.358,0.0,0.013000000000000001,0.015,0.013916666666666667,0.014,0.0003782268572636735,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,928,60,60,1,4,2048,1408,True,1
0.037,0.037,0.037,0.037,0.0,0.112,0.112,0.112,0.112,0.0,2.433,2.433,2.433,2.433,0.0,0.013000000000000001,0.015,0.013966666666666667,0.014,0.0003144660377352199,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,920,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.11,0.11,0.11,0.11,0.0,2.313,2.313,2.313,2.313,0.0,0.013000000000000001,0.015,0.013916666666666667,0.014,0.0003782268572636735,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,912,60,60,1,4,2048,1408,True,1
0.037,0.037,0.037,0.037,0.0,0.11,0.11,0.11,0.11,0.0,2.414,2.414,2.414,2.414,0.0,0.013000000000000001,0.015,0.013966666666666667,0.014,0.0003144660377352199,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,904,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.109,0.109,0.109,0.109,0.0,2.314,2.314,2.314,2.314,0.0,0.013000000000000001,0.015,0.013566666666666668,0.014,0.0005587684871413399,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,896,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.11,0.11,0.11,0.11,0.0,2.359,2.359,2.359,2.359,0.0,0.013000000000000001,0.015,0.013250000000000001,0.013000000000000001,0.0005041494487418054,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,888,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.108,0.108,0.108,0.108,0.0,2.2720000000000002,2.2720000000000002,2.2720000000000002,2.2720000000000002,0.0,0.013000000000000001,0.015,0.013116666666666667,0.013000000000000001,0.00036930866343600535,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,880,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.109,0.109,0.109,0.109,0.0,2.379,2.379,2.379,2.379,0.0,0.013000000000000001,0.015,0.0132,0.013000000000000001,0.00047609522856952296,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,872,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.107,0.107,0.107,0.107,0.0,2.271,2.271,2.271,2.271,0.0,0.012,0.015,0.013066666666666667,0.013000000000000001,0.0003590109871423001,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,864,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.109,0.109,0.109,0.109,0.0,2.352,2.352,2.352,2.352,0.0,0.013000000000000001,0.015,0.0131,0.013000000000000001,0.00039581140290126355,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,856,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.107,0.107,0.107,0.107,0.0,2.2720000000000002,2.2720000000000002,2.2720000000000002,2.2720000000000002,0.0,0.013000000000000001,0.014,0.013066666666666667,0.013000000000000001,0.0002494438257849292,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,848,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.108,0.108,0.108,0.108,0.0,2.359,2.359,2.359,2.359,0.0,0.012,0.015,0.01315,0.013000000000000001,0.00044064346888007594,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,840,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.105,0.105,0.105,0.105,0.0,2.3000000000000003,2.3000000000000003,2.3000000000000003,2.3000000000000003,0.0,0.012,0.015,0.013033333333333334,0.013000000000000001,0.00031446603773522,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,832,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.106,0.106,0.106,0.106,0.0,2.348,2.348,2.348,2.348,0.0,0.013000000000000001,0.015,0.0131,0.013000000000000001,0.0003511884584284243,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,824,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.0,2.2720000000000002,2.2720000000000002,2.2720000000000002,2.2720000000000002,0.0,0.013000000000000001,0.015,0.01305,0.013000000000000001,0.00028431203515386604,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,816,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.105,0.105,0.105,0.105,0.0,2.356,2.356,2.356,2.356,0.0,0.013000000000000001,0.015,0.0131,0.013000000000000001,0.00035118845842842434,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,808,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,2.271,2.271,2.271,2.271,0.0,0.013000000000000001,0.015,0.013083333333333334,0.013000000000000001,0.0003312434485725296,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,800,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.10400000000000001,0.0,2.346,2.346,2.346,2.346,0.0,0.013000000000000001,0.015,0.0131,0.013000000000000001,0.00035118845842842434,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,792,60,60,1,4,2048,1408,True,1
0.035,0.035,0.035,0.035,0.0,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,2.246,2.246,2.246,2.246,0.0,0.012,0.015,0.013033333333333334,0.013000000000000001,0.00031446603773522,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,784,60,60,1,4,2048,1408,True,1
0.034,0.034,0.034,0.034,0.0,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.10300000000000001,0.0,2.352,2.352,2.352,2.352,0.0,0.013000000000000001,0.015,0.013083333333333334,0.013000000000000001,0.0003782268572636735,0.01,0.011,0.010016666666666669,0.01,0.00012801909579781003,776,60,60,1,4,2048,1408,True,1
